client_id,round_number,hierarchy,num_samples,set,accuracy,loss
f0015_48,1,,371,train,0.03303303303303303,3.794053792953491
f0022_10,1,,335,train,0.026578073089700997,3.780073881149292
f0023_08,1,,246,train,0.049773755656108594,3.613105058670044
f0120_29,1,,302,train,0.03690036900369004,3.820080518722534
f0169_09,1,,229,train,0.04854368932038835,3.84417986869812
f0175_47,1,,330,train,0.04377104377104377,3.832106351852417
f0188_36,1,,402,train,0.036011080332409975,3.717280387878418
f0197_34,1,,417,train,0.029333333333333333,3.7644236087799072
f0211_26,1,,409,train,0.02717391304347826,3.8214893341064453
f0232_28,1,,287,train,0.023255813953488372,3.756021499633789
f0240_02,1,,253,train,0.0,4.053108215332031
f0265_39,1,,379,train,0.03519061583577713,3.7511048316955566
f0290_29,1,,355,train,0.0219435736677116,3.8436405658721924
f0296_20,1,,398,train,0.030726256983240222,3.7631492614746094
f0308_10,1,,325,train,0.03424657534246575,3.789109706878662
f0312_43,1,,417,train,0.02666666666666667,3.789316177368164
f0313_43,1,,333,train,0.030100334448160536,3.8068044185638428
f0335_14,1,,428,train,0.03116883116883117,3.771982192993164
f0367_33,1,,368,train,0.030211480362537766,3.78743577003479
f0379_10,1,,419,train,0.029177718832891247,3.7550313472747803
f0386_15,1,,221,train,0.04040404040404041,3.7349748611450195
f0412_26,1,,316,train,0.03169014084507042,3.803321599960327
f0443_21,1,,59,train,0.05660377358490566,3.831001043319702
f0455_26,1,,233,train,0.0430622009569378,3.752135992050171
f0466_11,1,,402,train,0.027700831024930747,3.7830278873443604
f0476_07,1,,112,train,0.08,3.7307138442993164
f0519_46,1,,395,train,0.036619718309859155,3.7588813304901123
f0560_16,1,,232,train,0.0,3.859954595565796
f0567_25,1,,321,train,0.024305555555555556,3.803327798843384
f0575_25,1,,309,train,0.025179856115107913,3.8381285667419434
f0602_16,1,,352,train,0.03481012658227848,3.991431951522827
f0609_12,1,,332,train,0.03691275167785235,3.8223140239715576
f0648_23,1,,378,train,0.03529411764705882,3.77323317527771
f0660_10,1,,397,train,0.028011204481792718,3.770428419113159
f0662_29,1,,313,train,0.046263345195729534,3.702136278152466
f0695_31,1,,368,train,0.03323262839879154,3.7746009826660156
f0712_09,1,,353,train,0.03470031545741325,3.752861261367798
f0752_25,1,,315,train,0.0176678445229682,3.9240221977233887
f0778_20,1,,360,train,0.030864197530864196,3.764892578125
f0783_27,1,,388,train,0.03151862464183381,3.7954633235931396
f0786_07,1,,257,train,0.004329004329004329,3.921081304550171
f0815_12,1,,408,train,0.035422343324250684,3.7572789192199707
f0819_13,1,,339,train,0.036065573770491806,3.7461626529693604
f0822_30,1,,4,train,0.0,4.9258575439453125
f0828_34,1,,332,train,0.03355704697986577,3.8818163871765137
f0848_42,1,,150,train,0.022222222222222223,3.8667001724243164
f0893_25,1,,361,train,0.027777777777777776,3.767538070678711
f0915_03,1,,332,train,0.02348993288590604,4.042383193969727
f0924_33,1,,246,train,0.05429864253393665,3.6808295249938965
f0946_31,1,,305,train,0.0364963503649635,3.8811819553375244
f0985_44,1,,277,train,0.04417670682730924,3.7439565658569336
f0995_43,1,,336,train,0.033112582781456956,3.717550277709961
